,id,MD5,Type,NP,Answer,RT,Item,Correct
0,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,пить пиво,Да,2854.0,пить,1.0
1,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,сесть в трагедию,Нет,1395.0,сесть,1.0
2,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,слушать радио,Да,1650.0,слушать,1.0
3,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,гоняться за славой,Да,1243.0,гоняться,1.0
4,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,налить звезду,Нет,898.0,налить,1.0
5,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,обидеть вилку,Нет,1151.0,обидеть,1.0
6,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,рассуждать о вечном,Да,1532.0,рассуждать,1.0
7,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,надеть завтрак,Нет,1418.0,надеть,1.0
8,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,облокотиться на печаль,Нет,1096.0,облокотиться,1.0
9,1637329557,f55fbb21e32f6b727eba6ed78263b502,hm,подарить жизнь,Да,988.0,подарить,1.0
10,1637329557,f55fbb21e32f6b727eba6ed78263b502,lhb,класть ложку,Да,875.0,класть,1.0
11,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,косить портфель,Нет,797.0,косить,1.0
12,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,собирать яблоки,Да,802.0,собирать,1.0
13,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,приказать внимание,Нет,787.0,приказать,1.0
14,1637329557,f55fbb21e32f6b727eba6ed78263b502,llm,ударить по колену,Да,1615.0,ударить,1.0
15,1637329557,f55fbb21e32f6b727eba6ed78263b502,llb,снять капюшон,Да,885.0,снять,1.0
16,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,лечить одежду,Нет,1489.0,лечить,1.0
17,1637329557,f55fbb21e32f6b727eba6ed78263b502,llm,выйти из библиотеки,Да,1509.0,выйти,1.0
18,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,наслаждаться погодой,Да,988.0,наслаждаться,1.0
19,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,делать массаж,Да,906.0,делать,1.0
20,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,выражать ранец,Нет,3672.0,выражать,1.0
21,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,писать сочинение,Да,971.0,писать,1.0
22,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,терроризировать тумбочку,Нет,4570.0,терроризировать,1.0
23,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,клянчить тревогу,Нет,1463.0,клянчить,1.0
24,1637329557,f55fbb21e32f6b727eba6ed78263b502,lhm,идти к выходу,Да,1099.0,идти,1.0
25,1637329557,f55fbb21e32f6b727eba6ed78263b502,lb,кидать клич,Да,1844.0,кидать,1.0
26,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,лупить проблему,Нет,1187.0,лупить,1.0
27,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,оскорбить зонтик,Нет,2752.0,оскорбить,1.0
28,1637329557,f55fbb21e32f6b727eba6ed78263b502,hm,разогревать мышцы,Да,1025.0,разогревать,1.0
29,1637329557,f55fbb21e32f6b727eba6ed78263b502,hb,дать сигнал,Да,1044.0,дать,1.0
30,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,развеселить батарею,Нет,1594.0,развеселить,1.0
31,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,дёргать за терпение,Нет,1945.0,дёргать,1.0
32,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,танцевать картину,Нет,841.0,танцевать,1.0
33,1637329557,f55fbb21e32f6b727eba6ed78263b502,lhb,нести груз,Да,920.0,нести,1.0
34,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,лежать на потолке,Нет,2005.0,лежать,1.0
35,1637329557,f55fbb21e32f6b727eba6ed78263b502,hb,брать реванш,Нет,4472.0,брать,0.0
36,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,душить стул,Нет,2216.0,душить,1.0
37,1637329557,f55fbb21e32f6b727eba6ed78263b502,lb,погасить штраф,Нет,5610.0,погасить,0.0
38,1637329557,f55fbb21e32f6b727eba6ed78263b502,lhm,наполнять стакан,Да,2179.0,наполнять,1.0
39,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,испечь печаль,Нет,1961.0,испечь,1.0
40,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,возбуждать стену,Нет,2919.0,возбуждать,1.0
41,1637329557,f55fbb21e32f6b727eba6ed78263b502,llb,вызвать дочку,Да,4651.0,вызвать,1.0
42,1637329557,f55fbb21e32f6b727eba6ed78263b502,lm,вертеть мужем,Да,1239.0,вертеть,1.0
43,1637329557,f55fbb21e32f6b727eba6ed78263b502,lhb,вести человека,Да,1389.0,вести,1.0
44,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,одеть ванну,Нет,919.0,одеть,1.0
45,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,скушать ужин,Да,1520.0,скушать,1.0
46,1637329557,f55fbb21e32f6b727eba6ed78263b502,hm,забирать энергию,Да,3480.0,забирать,1.0
47,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,обедать печалью,Нет,1371.0,обедать,1.0
48,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,смотреть на облака,Да,1283.0,смотреть,1.0
49,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,испугать банкомат,Нет,1094.0,испугать,1.0
50,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,молчать комплименты,Нет,990.0,молчать,1.0
51,1637329557,f55fbb21e32f6b727eba6ed78263b502,llb,разбить тарелку,Да,707.0,разбить,1.0
52,1637329557,f55fbb21e32f6b727eba6ed78263b502,lm,копить злость,Да,2206.0,копить,1.0
53,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,вылить квартиру,Нет,1692.0,вылить,1.0
54,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,смотреть ушами,Нет,2121.0,смотреть,1.0
55,1637329557,f55fbb21e32f6b727eba6ed78263b502,lhb,взять книгу,Да,806.0,взять,1.0
56,1637329557,f55fbb21e32f6b727eba6ed78263b502,llm,сражаться с воинами,Да,1287.0,сражаться,1.0
57,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,разозлить матрас,Нет,948.0,разозлить,1.0
58,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,свисать с пола,Нет,1893.0,свисать,1.0
59,1637329557,f55fbb21e32f6b727eba6ed78263b502,lb,держать вахту,Нет,2983.0,держать,0.0
60,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,разорвать тревогу,Нет,979.0,разорвать,1.0
61,1637329557,f55fbb21e32f6b727eba6ed78263b502,lhm,резать хлеб,Да,1728.0,резать,1.0
62,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,отвечать на табуретку,Нет,1361.0,отвечать,1.0
63,1637329557,f55fbb21e32f6b727eba6ed78263b502,hm,потерять покой,Да,2422.0,потерять,1.0
64,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,покупать продукты,Да,1682.0,покупать,1.0
65,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,везти слово,Нет,1109.0,везти,1.0
66,1637329557,f55fbb21e32f6b727eba6ed78263b502,lm,уронить голову,Да,1398.0,уронить,1.0
67,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,нажимать рыбу,Нет,2824.0,нажимать,1.0
68,1637329557,f55fbb21e32f6b727eba6ed78263b502,hb,крутить роман,Да,1236.0,крутить,1.0
69,1637329557,f55fbb21e32f6b727eba6ed78263b502,lm,бить по психике,Да,1213.0,бить,1.0
70,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,враждовать с ковром,Нет,1079.0,враждовать,1.0
71,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,слушать глазами,Нет,1043.0,слушать,1.0
72,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,кормить курицу,Да,2823.0,кормить,1.0
73,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,говорить диванами,Нет,1387.0,говорить,1.0
74,1637329557,f55fbb21e32f6b727eba6ed78263b502,llb,развязать ленту,Да,3648.0,развязать,1.0
75,1637329557,f55fbb21e32f6b727eba6ed78263b502,lhm,бродить по коридорам,Да,1363.0,бродить,1.0
76,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,съесть статую,Нет,975.0,съесть,1.0
77,1637329557,f55fbb21e32f6b727eba6ed78263b502,lb,оставить рубец,Да,4843.0,оставить,1.0
78,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,жить в десерте,Нет,1999.0,жить,1.0
79,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,спорить с папой,Да,1619.0,спорить,1.0
80,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,избить траву,Нет,938.0,избить,1.0
81,1637329557,f55fbb21e32f6b727eba6ed78263b502,hb,поднять крик,Да,1371.0,поднять,1.0
82,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,вдохнуть кошелёк,Нет,884.0,вдохнуть,1.0
83,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,подметать обсуждение,Нет,4293.0,подметать,1.0
84,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,вышивать воду,Нет,1039.0,вышивать,1.0
85,1637329557,f55fbb21e32f6b727eba6ed78263b502,ok,говорить неправду,Да,650.0,говорить,1.0
86,1637329557,f55fbb21e32f6b727eba6ed78263b502,llm,двигаться к библиотеке,Да,767.0,двигаться,1.0
87,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,вылечить погоду,Нет,968.0,вылечить,1.0
88,1637329557,f55fbb21e32f6b727eba6ed78263b502,fil,бежать по потолку,Нет,832.0,бежать,1.0
89,1637329557,f55fbb21e32f6b727eba6ed78263b502,metaphor,сладкая слава,Да,4205.0,сладкая,1.0
90,1637329557,f55fbb21e32f6b727eba6ed78263b502,filler_no,компетентный грот,Нет,2039.0,компетентный,1.0
91,1637329557,f55fbb21e32f6b727eba6ed78263b502,metaphor,горячая битва,Нет,2314.0,горячая,0.0
92,1637329557,f55fbb21e32f6b727eba6ed78263b502,filler_no,отсталый снег,Нет,2604.0,отсталый,1.0
93,1637329557,f55fbb21e32f6b727eba6ed78263b502,filler_no,торопливый комок,Нет,3069.0,торопливый,1.0
94,1637329557,f55fbb21e32f6b727eba6ed78263b502,filler_no,литровый диван,Нет,2541.0,литровый,1.0
95,1637329557,f55fbb21e32f6b727eba6ed78263b502,literal_b,крепкие зубы,Да,2931.0,крепкие,1.0
96,1637329557,f55fbb21e32f6b727eba6ed78263b502,literal_b,лёгкая куртка,Да,1335.0,лёгкая,1.0
